VRPSolverEasy results (with initial upper bound by OR-tools) using CLP and CPLEX solvers,,,,,,,,,,,,,
,,,,,,,,,,,,,
Dataset,,CLP,,,,CPLEX(heuristic off),,,,CPLEX(heuristic on),,,
,,opt,GMT,gap_I,gap_F,opt,GMT,gapI,gapF,opt,GMT,gap_I,gap_F
CVRP, Small , 87/87 ,35.9,0.99,0, 87/87 ,33.8,0.99,0, 87/87 ,31,0.99,0
, Medium , 11/26 ,914.2,4.45,2.64, 14/26 ,844.9,4.36,2.35, 16/26 ,617.3,4.36,1.96
VRPTW, Solomon , 55/56 ,120.6,14.2,0.05, 53/56 ,109,14.2,0.14, 54/56 ,112.2,14.2,0.1
,  HG-200 , 26/60 ,915.5,9.88,5.64, 27/60 ,881,9.02,4.63, 28/60 ,879.7,9.16,4.78
HFVRP, Classic , 30/40 ,241.1,10.37,1, 31/40 ,234.5,10.35,0.95, 36/40 ,154.2,10.32,0.34
,  XH-200 , 1/22 ,1733.8,18.06,13.88, 2/22 ,1730.4,18.07,13.44, 8/22 ,1088.6,18.65,8.25
Total , , 210/291 , , , , 215/291 , , , , 229/291 , ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Impact of the initial upper bound on VRPSolverEasy,,,,,,,,,,,,,
,,,,,,,,,,,,,
Dataset ,No upper bound,,,OR-Tools,,,,HGS-CVRP,,,,,
,,,,,,,,,,,,,
  ,opt,GMT ,gap_F,opt ,GMT ,gap_I ,gap_F,opt ,GMT ,gap_I ,gap_F,,
 Small , 87/87 ,4.5,0, 87/87 ,35.9,0.99,0, 87/87 ,28.6,0.01,0,,
 Medium , 11/26 ,775.3,49.2, 11/26 ,914.2,4.45,2.64, 16/26 ,541.8,0.13,0.13,,
